mapping_id,vip_id,vip_numeric_id,vip_name,capability_domain,canonical_sphere_refs,canonical_sphere_scope,provider_family,provider,provider_category,capability_type,deployment_path,layer,status,region_or_jurisdiction,policy_dialect,evidence_ref,work_context,automation_risk,hitl_required,labor_disclosure_required,union_constraints,truth_seeking_weight,sovereignty_score,provider_primacy_override,provider_primacy_target,notes
R000,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,xAI,Grok-4,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.40,0.50,true,xAI,"Primary truth-seeking router"
R001,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,Anthropic,Claude-3.7,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.20,0.40,false,,"High-clarity reasoning"
R002,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,OpenAI,GPT-4.1,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.10,0.40,false,,"General reasoning"
R003,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,Google,Gemini-2.0,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.05,0.40,false,,"Multimodal reasoning"
R004,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,DeepSeek,R1,model_api,direct,model,existing,CN,CN,,null,null,null,null,null,1.00,1.00,false,,"CN dialect anchor"
R005,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,OpenWeight,Meta,Llama-3.1,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight baseline"
R006,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,OpenWeight,Mistral,Mistral-Large,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight baseline"
R007,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,OpenWeight,Qwen,Qwen-3.x,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight baseline"
R020,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,Microsoft,OneLake,warehouse,azure,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Data lake substrate"
R021,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,AWS,S3,storage,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Object storage"
